## 符号组
ㄞ	ofvy
ㄟ	ofvy
ㄠ	ofvy
ㄡ	ofvy
ㄢ	ofvy
ㄣ	ofvy
ㄤ	ofvy
ㄥ	ofvy
ㄦ	ofvy
Α	ofxd
Β	ofxd
Γ	ofxd
Δ	ofxd
Ε	ofxd
Ζ	ofxd
Η	ofxd
Θ	ofxd
Ι	ofxd
Κ	ofxd
Λ	ofxd
Μ	ofxd
Ν	ofxd
Ξ	ofxd
Ο	ofxd
Π	ofxd
Ρ	ofxd
Σ	ofxd
Τ	ofxd
Υ	ofxd
Φ	ofxd
Χ	ofxd
Ψ	ofxd
Ω	ofxd
α	ofxx
β	ofxx
γ	ofxx
δ	ofxx
ε	ofxx
ζ	ofxx
η	ofxx
θ	ofxx
ι	ofxx
κ	ofxx
λ	ofxx
μ	ofxx
ν	ofxx
ξ	ofxx
ο	ofxx
π	ofxx
ρ	ofxx
σ	ofxx
τ	ofxx
υ	ofxx
φ	ofxx
χ	ofxx
ψ	ofxx
ω	ofxx
①	ofyu
②	ofyu
③	ofyu
④	ofyu
⑤	ofyu
⑥	ofyu
⑦	ofyu
⑧	ofyu
⑨	ofyu
⑩	ofyu
┌	ofvb
└	ofvb
┐	ofvb
┘	ofvb
─	ofvb
│	ofvb
├	ofvb
┤	ofvb
┬	ofvb
┴	ofvb
┼	ofvb
┏	ofvb
┗	ofvb
┓	ofvb
┛	ofvb
━	ofvb
┃	ofvb
┣	ofvb
┫	ofvb
┳	ofvb
┻	ofvb
╋	ofvb
¹	ofub
²	ofub
³	ofub
⁴	ofub
⁵	ofub
⁶	ofub
⁷	ofub
⁸	ofub
⁹	ofub
⁰	ofub
⁺	ofub
⁻	ofub
⁼	ofub
⁽	ofub
⁾	ofub
ⁿ	ofub
ˣ	ofub
ʸ	ofub
₁	ofxb
₂	ofxb
₃	ofxb
₄	ofxb
₅	ofxb
₆	ofxb
₇	ofxb
₈	ofxb
₉	ofxb
₀	ofxb
₊	ofxb
₋	ofxb
₌	ofxb
₍	ofxb
₎	ofxb
ₙ	ofxb
ₐ	ofxb
ₑ	ofxb
⿰	ofjg
⿱	ofjg
⿲	ofjg
⿳	ofjg
⿴	ofjg
⿵	ofjg
⿶	ofjg
⿷	ofjg
⿸	ofjg
⿹	ofjg
⿺	ofjg
⿻	ofjg
ɪ	ofyb
æ	ofyb
ʌ	ofyb
ɒ	ofyb
ʊ	ofyb
ə	ofyb
θ	ofyb
ʃ	ofyb
ð	ofyb
ʒ	ofyb
ŋ	ofyb
i:	ofyb
ɑ:	ofyb
ɔ:	ofyb
u:	ofyb
ɜ:	ofyb
tʃ	ofyb
dʒ	ofyb
eɪ	ofyb
aɪ	ofyb
ɔɪ	ofyb
aʊ	ofyb
əʊ	ofyb
ɪə	ofyb
eə	ofyb
ʊə	ofyb

