北	bei	6465	rime_pinyin_simp
呗	bei	8020	rime_pinyin_simp
被	bei	138129	rime_pinyin_simp
滭	bi	1	rime_pinyin_simp
驆	bi	1	rime_pinyin_simp
鷝	bi	1	rime_pinyin_simp
馝	bi	1	rime_pinyin_simp
梐	bi	1	rime_pinyin_simp
鼊	bi	1	rime_pinyin_simp
鷩	bi	1	rime_pinyin_simp
鵖	bi	1	rime_pinyin_simp
鮅	bi	1	rime_pinyin_simp
飶	bi	1	rime_pinyin_simp
襣	bi	1	rime_pinyin_simp
鄨	bi	1	rime_pinyin_simp
奰	bi	2	rime_pinyin_simp
蜌	bi	2	rime_pinyin_simp
朼	bi	2	rime_pinyin_simp
駜	bi	2	rime_pinyin_simp
罼	bi	2	rime_pinyin_simp
疕	bi	2	rime_pinyin_simp
熚	bi	2	rime_pinyin_simp
貏	bi	2	rime_pinyin_simp
蓽	bi	2	rime_pinyin_simp
贔	bi	2	rime_pinyin_simp
腷	bi	2	rime_pinyin_simp
廦	bi	2	rime_pinyin_simp
獘	bi	2	rime_pinyin_simp
鏎	bi	2	rime_pinyin_simp
篳	bi	2	rime_pinyin_simp
坒	bi	2	rime_pinyin_simp
髲	bi	2	rime_pinyin_simp
鄪	bi	2	rime_pinyin_simp
怭	bi	2	rime_pinyin_simp
幤	bi	2	rime_pinyin_simp
愊	bi	2	rime_pinyin_simp
縪	bi	2	rime_pinyin_simp
舭	bi	2	rime_pinyin_simp
匂	bi	2	rime_pinyin_simp
蹕	bi	2	rime_pinyin_simp
閇	bi	2	rime_pinyin_simp
綼	bi	2	rime_pinyin_simp
珌	bi	2	rime_pinyin_simp
潷	bi	2	rime_pinyin_simp
秘	bi	2	rime_pinyin_simp
觱	bi	3	rime_pinyin_simp
皕	bi	3	rime_pinyin_simp
嗶	bi	3	rime_pinyin_simp
痺	bi	3	rime_pinyin_simp
邲	bi	3	rime_pinyin_simp
沘	bi	3	rime_pinyin_simp
獙	bi	3	rime_pinyin_simp
庳	bi	3	rime_pinyin_simp
粊	bi	3	rime_pinyin_simp
賁	bi	3	rime_pinyin_simp
柀	bi	3	rime_pinyin_simp
狴	bi	3	rime_pinyin_simp
詖	bi	3	rime_pinyin_simp
疪	bi	4	rime_pinyin_simp
荸	bi	4	rime_pinyin_simp
閟	bi	4	rime_pinyin_simp
贲	bi	4	rime_pinyin_simp
睥	bi	4	rime_pinyin_simp
躄	bi	4	rime_pinyin_simp
斃	bi	5	rime_pinyin_simp
萆	bi	5	rime_pinyin_simp
堛	bi	5	rime_pinyin_simp
幣	bi	6	rime_pinyin_simp
筚	bi	7	rime_pinyin_simp
愎	bi	7	rime_pinyin_simp
泌	bi	7	rime_pinyin_simp
嬶	bi	8	rime_pinyin_simp
跸	bi	8	rime_pinyin_simp
佖	bi	8	rime_pinyin_simp
箅	bi	9	rime_pinyin_simp
裨	bi	9	rime_pinyin_simp
閉	bi	9	rime_pinyin_simp
繴	bi	10	rime_pinyin_simp
襞	bi	10	rime_pinyin_simp
彃	bi	10	rime_pinyin_simp
苾	bi	11	rime_pinyin_simp
秕	bi	12	rime_pinyin_simp
畢	bi	13	rime_pinyin_simp
毖	bi	13	rime_pinyin_simp
妼	bi	13	rime_pinyin_simp
髀	bi	14	rime_pinyin_simp
嬖	bi	14	rime_pinyin_simp
芘	bi	15	rime_pinyin_simp
蓖	bi	15	rime_pinyin_simp
楅	bi	17	rime_pinyin_simp
湢	bi	18	rime_pinyin_simp
筆	bi	19	rime_pinyin_simp
篦	bi	23	rime_pinyin_simp
薜	bi	28	rime_pinyin_simp
妣	bi	31	rime_pinyin_simp
哔	bi	36	rime_pinyin_simp
濞	bi	42	rime_pinyin_simp
匕	bi	42	rime_pinyin_simp
铋	bi	44	rime_pinyin_simp
荜	bi	48	rime_pinyin_simp
陛	bi	59	rime_pinyin_simp
滗	bi	60	rime_pinyin_simp
婢	bi	68	rime_pinyin_simp
吡	bi	81	rime_pinyin_simp
鄙	bi	88	rime_pinyin_simp
庇	bi	94	rime_pinyin_simp
敝	bi	104	rime_pinyin_simp
痹	bi	114	rime_pinyin_simp
弼	bi	114	rime_pinyin_simp
蔽	bi	123	rime_pinyin_simp
