---config@码表分类=主码-6
---config@码表别名=Ｏ符
😊	oi
$ddcmd(ǎ,ǎ)	ofpy
$ddcmd(à,à)	ofpy
$ddcmd(ō,ō)	ofpy
$ddcmd(ó,ó)	ofpy
$ddcmd(ǒ,ǒ)	ofpy
$ddcmd(ò,ò)	ofpy
$ddcmd(ē,ē)	ofpy
$ddcmd(é,é)	ofpy
$ddcmd(ě,ě)	ofpy
$ddcmd(è,è)	ofpy
$ddcmd(ê,ê)	ofpy
$ddcmd(ī,ī)	ofpy
$ddcmd(í,í)	ofpy
$ddcmd(ǐ,ǐ)	ofpy
$ddcmd(ì,ì)	ofpy
$ddcmd(ū,ū)	ofpy
$ddcmd(ú,ú)	ofpy
$ddcmd(ǔ,ǔ)	ofpy
$ddcmd(ù,ù)	ofpy
$ddcmd(ü,ü)	ofpy
$ddcmd(ǖ,ǖ)	ofpy
$ddcmd(ǘ,ǘ)	ofpy
$ddcmd(ǚ,ǚ)	ofpy
$ddcmd(ǜ,ǜ)	ofpy
$ddcmd(ḿ,ḿ)	ofpy
$ddcmd(m̀,m̀)	ofpy
$ddcmd(ń,ń)	ofpy
$ddcmd(ň,ň)	ofpy
$ddcmd(ǹ,ǹ)	ofpy
$ddcmd(Ⅰ,Ⅰ)	ofld
$ddcmd(Ⅱ,Ⅱ)	ofld
$ddcmd(Ⅲ,Ⅲ)	ofld
$ddcmd(Ⅳ,Ⅳ)	ofld
$ddcmd(Ⅴ,Ⅴ)	ofld
$ddcmd(Ⅵ,Ⅵ)	ofld
$ddcmd(Ⅶ,Ⅶ)	ofld
$ddcmd(Ⅷ,Ⅷ)	ofld
$ddcmd(Ⅸ,Ⅸ)	ofld
$ddcmd(Ⅹ,Ⅹ)	ofld
$ddcmd(Ⅺ,Ⅺ)	ofld
$ddcmd(Ⅻ,Ⅻ)	ofld
$ddcmd(ⅰ,ⅰ)	oflx
$ddcmd(ⅱ,ⅱ)	oflx
$ddcmd(ⅲ,ⅲ)	oflx
$ddcmd(ⅳ,ⅳ)	oflx
$ddcmd(ⅴ,ⅴ)	oflx
$ddcmd(ⅵ,ⅵ)	oflx
$ddcmd(ⅶ,ⅶ)	oflx
$ddcmd(ⅷ,ⅷ)	oflx
$ddcmd(ⅸ,ⅸ)	oflx
$ddcmd(ⅹ,ⅹ)	oflx
$ddcmd(℃,℃)	oftu
$ddcmd(°,°)	oftu
$ddcmd(‰,‰)	oftu
$ddcmd(♂,♂)	oftu
$ddcmd(♀,♀)	oftu
$ddcmd(§,§)	oftu
$ddcmd(№,№)	oftu
$ddcmd(☆,☆)	oftu
$ddcmd(★,★)	oftu
$ddcmd(○,○)	oftu
$ddcmd(●,●)	oftu
$ddcmd(◎,◎)	oftu
$ddcmd(◇,◇)	oftu
$ddcmd(◆,◆)	oftu
$ddcmd(□,□)	oftu
$ddcmd(■,■)	oftu
$ddcmd(△,△)	oftu
$ddcmd(▲,▲)	oftu
$ddcmd(※,※)	oftu
$ddcmd(〓,〓)	oftu
$ddcmd(＃,＃)	oftu
$ddcmd(＆,＆)	oftu
$ddcmd(＠,＠)	oftu
$ddcmd(＼,＼)	oftu
$ddcmd(＾,＾)	oftu
$ddcmd(＿,＿)	oftu
$ddcmd(￣,￣)	oftu
$ddcmd(＋,＋)	ofux
$ddcmd(－,－)	ofux
$ddcmd(×,×)	ofux
$ddcmd(÷,÷)	ofux
